"PPI","IRfile","s_birth1","s_birth2","s_birth3","s_birth4","s_birth5","s_birth6","s_birth7","s_birth8","s_birth9","s_infecund","s_neversex","s_sex_fbirth","API_ID"
0.151123458284133,"AFIR70FL.DTA",0.0710288808664379,0.0785108289919976,0.0747628327560401,0.0704709474725119,0.0592330836522152,0.0522066301841892,0.0395736576883723,0.0303018864855576,0.0408675508899728,0.13296701798337,0.300195955658736,0.0498807273705989,"AF2015DHS"
0.374653576219653,"BDIR81FL.DTA",0.176579290457306,0.251399753312009,0.157618232956003,0.0624423283892195,0.0246401701326085,0.00884426505600672,0.00331345849946625,0.00140639196199669,0.000420740628382813,0.074841802402814,0.15900827407247,0.0794852921317176,"BD2022DHS"
0.492734657340757,"EGIR61FL.DTA",0.0984271954815731,0.173046278316317,0.169864327627751,0.101697820383408,0.0474190157108074,0.019048354409734,0.00995223638161309,0.00473194237032913,0.00371590342065372,0.0551932763719325,0.264945750481007,0.0519578990448733,"EG2014DHS"
0.586250201158023,"JOIR81FL.DTA",0.0478156452159085,0.0827410416371181,0.100016336908764,0.0946117875805222,0.0619936649425052,0.0351284670059489,0.0151216254127875,0.00601506394527181,0.00338761811133746,0.086002694013725,0.433743160267076,0.0334228949590356,"JO2023DHS"
0.165478452512315,"PKIR71FL.DTA",0.0780307828534905,0.0862570154709407,0.0868837738440466,0.0784070901413304,0.0607719803648645,0.0387896355874924,0.0230377228981556,0.0145377164305405,0.018880551270104,0.113257018703954,0.333120986792317,0.0680257256427643,"PK2017DHS"
,"VNIR41FL.DTA",,,,,,,,,,,,,"VN2002DHS"
0.272878136387819,"ALIR71FL.DTA",0.115244615943486,0.218515456381086,0.0948427580086642,0.0221964834657367,0.00340415649461103,0.000899438044347413,0.000215113464955377,2.52414527414486e-05,,0.203442479772962,0.236608534829177,0.104605722142232,"AL2017DHS"
0.0707262735290685,"AOIR71FL.DTA",0.137361269204808,0.119718875384085,0.100815818256025,0.0811181766778301,0.0638789675641678,0.0516451531784907,0.0313714885902685,0.0207383391057835,0.0278582567136908,0.131956189804476,0.102437054893433,0.131100410626942,"AO2015DHS"
0.321926630853074,"AMIR71FL.DTA",0.119209558578316,0.2771341700892,0.112025842565155,0.0202958303442807,0.00393669883498974,0.000889437870650641,5.5091890295413e-05,,0.000118407129210225,0.131914881050749,0.297281268909147,0.0371388127380048,"AM2016DHS"
0.387568987512388,"AZIR52FL.DTA",0.0986778000324542,0.222613438362583,0.146408939223247,0.0524326621345063,0.0204428370269068,0.00555452459603821,0.00351773789708748,0.000958457596675317,0.000763516693183688,0.0863426305263871,0.307131098034185,0.0551563578767461,"AZ2006DHS"
0.0908396627461261,"BJIR71FL.DTA",0.12011736567048,0.111193855502513,0.102945404475469,0.0914300839743125,0.0687443386901229,0.0516654942705721,0.0381733203672233,0.0230978513865213,0.0213672709626547,0.118829474786907,0.123210459152684,0.12922508076054,"BJ2017DHS"
0.21994029096986,"BOIR51FL.DTA",0.141603860335354,0.143005005439146,0.105747572669204,0.0713969254131525,0.049307195226575,0.0371136481905044,0.0224863432083267,0.0164631672459581,0.0220155144716358,0.0881325013008906,0.20177014808963,0.100958118409623,"BO2008DHS"
0.460600221901421,"BRIR31FL.DTA",0.148517281457617,0.180083831685451,0.135971550510342,0.0669669499137645,0.032609874136026,0.0207100413709929,0.0126594731680697,0.00864054296395035,0.0142646446539927,0.0584378874592744,0.204693568584277,0.116444354096242,"BR1996DHS"
0.284946078293789,"BFIR81FL.DTA",0.122727327451879,0.112503608887822,0.106982020005877,0.0924985128891773,0.0778105373426426,0.0554781031579216,0.0325679832601402,0.017199771006648,0.0140464835023817,0.102223366398249,0.146310327807675,0.119651958289587,"BF2021DHS"
0.196062181525623,"BUIR70FL.DTA",0.0965028626773937,0.0986480668037232,0.0962334002804486,0.0796991036129283,0.072343145385672,0.0549482301285238,0.0414227608096254,0.0259974464541514,0.0264222671854872,0.0709364022799031,0.28980789512278,0.0470384192593631,"BU2016DHS"
0.340386435608613,"KHIR81FL.DTA",0.151171906153166,0.236792014457292,0.139505387528235,0.0518010022761583,0.0229917338511235,0.00802513589723788,0.002585477865612,0.00146827063324564,0.000671930402216834,0.0975355097278379,0.241295277322243,0.046156353885633,"KH2021DHS"
0.157174558067256,"CMIR71FL.DTA",0.127610613268837,0.104978185391444,0.0935104101300524,0.0778313765786654,0.0637358945941378,0.0467924819273389,0.0354998996916589,0.0239916313452454,0.0418834201248531,0.111984093106528,0.144016567795846,0.128165426045393,"CM2018DHS"
0.232889239744374,"CFIR31FL.DTA",0.127124024964033,0.105426823099087,0.0850836524779295,0.0682509871204033,0.0587246588374232,0.043456647959765,0.037172291858945,0.0220357376446003,0.0344423387999838,0.206598465524996,0.0910619042575726,0.120622467455261,"CF1994DHS"
0.0465912311259867,"TDIR71FL.DTA",0.0944682680222456,0.0882352252991665,0.0918767660361824,0.0816098943210474,0.0724783974154231,0.065644329829902,0.0515786027289198,0.049752532299408,0.0610881284154134,0.150345904155192,0.132743585611165,0.0601783658659349,"TD2014DHS"
0.661644615146274,"COIR71FL.DTA",0.201520344825148,0.213929623117461,0.117857360357115,0.045276048136354,0.0210311961870842,0.00951410856981694,0.00411821760774637,0.00224274831786852,0.00299225422693664,0.0326907736997347,0.159123320949906,0.189704004004828,"CO2015DHS"
